rank,CustomerID,churn_probability,risk_band,Contract,Tenure Months,Monthly Charges,Payment Method
355,9837-BMCLM,0.7756,Critical,Month-to-month,3,78.5,Electronic check
356,2205-YMZZJ,0.7756,Critical,Month-to-month,7,84.8,Electronic check
357,8161-QYMTT,0.7755,Critical,Month-to-month,7,94.1,Electronic check
358,4626-GYCZP,0.7755,Critical,Month-to-month,7,93.85,Electronic check
359,6407-UTSLV,0.7754,Critical,Month-to-month,2,83.8,Bank transfer (automatic)
360,2845-HSJCY,0.7751,Critical,Month-to-month,14,87.25,Electronic check
361,5804-LEPIM,0.7749,Critical,Month-to-month,2,70.35,Electronic check
362,1768-ZAIFU,0.7749,Critical,Month-to-month,1,25.2,Electronic check
363,5276-KQWHG,0.7749,Critical,Month-to-month,2,69.6,Electronic check
364,3452-GWUIN,0.7747,Critical,Month-to-month,19,94.95,Electronic check
365,7249-WBIYX,0.7746,Critical,Month-to-month,10,85.6,Electronic check
366,7330-WZLNC,0.7746,Critical,Month-to-month,5,90.8,Electronic check
367,7938-OUHIO,0.7745,Critical,Month-to-month,3,98.7,Electronic check
368,9317-WZPGV,0.7743,Critical,Month-to-month,2,79.75,Bank transfer (automatic)
369,6856-RAURS,0.7739,Critical,Month-to-month,2,74.9,Mailed check
370,1724-BQUHA,0.7731,Critical,Month-to-month,5,89.5,Electronic check
371,7598-UAASY,0.7727,Critical,Month-to-month,2,76.4,Electronic check
372,8739-XNIKG,0.7724,Critical,Month-to-month,5,84.0,Electronic check
373,1626-ERCMM,0.7723,Critical,Month-to-month,20,94.55,Electronic check
374,1569-TTNYJ,0.7722,Critical,Month-to-month,5,78.75,Electronic check
375,5091-HFAZW,0.7719,Critical,Month-to-month,2,91.15,Electronic check
376,4951-UKAAQ,0.7719,Critical,Month-to-month,4,88.95,Electronic check
377,0495-ZBNGW,0.7719,Critical,Month-to-month,5,79.9,Bank transfer (automatic)
378,7044-YAACC,0.7713,Critical,Month-to-month,4,70.2,Electronic check
379,2454-RPBRZ,0.771,Critical,Month-to-month,12,98.1,Electronic check
380,8185-UPYBR,0.7709,Critical,Month-to-month,6,75.5,Electronic check
381,3473-XIIIT,0.7708,Critical,Month-to-month,16,100.0,Electronic check
382,4629-NRXKX,0.7706,Critical,Month-to-month,2,70.4,Electronic check
383,3389-YGYAI,0.7706,Critical,Month-to-month,8,105.5,Electronic check
384,4143-OOBWZ,0.7702,Critical,Month-to-month,5,81.3,Electronic check
385,4290-BSXUX,0.7687,Critical,Month-to-month,3,79.65,Bank transfer (automatic)
386,5955-ERIHD,0.7684,Critical,Month-to-month,18,94.7,Electronic check
387,3096-GKWEB,0.7684,Critical,Month-to-month,18,94.75,Electronic check
388,4228-ZGYUW,0.7683,Critical,Month-to-month,4,90.05,Electronic check
389,9334-GWGOW,0.7679,Critical,Month-to-month,7,74.85,Electronic check
390,3877-JRJIP,0.7675,Critical,Month-to-month,1,59.85,Electronic check
391,4585-HETAI,0.7671,Critical,Month-to-month,4,73.75,Electronic check
392,7548-SEPYI,0.766,Critical,Month-to-month,5,96.25,Electronic check
393,1624-NALOJ,0.7658,Critical,Month-to-month,5,89.8,Electronic check
394,0616-ATFGB,0.7657,Critical,Month-to-month,1,25.05,Electronic check
395,9025-AOMKI,0.7656,Critical,Month-to-month,6,93.55,Bank transfer (automatic)
396,7384-GHBPI,0.7653,Critical,Month-to-month,3,35.15,Electronic check
397,0011-IGKFF,0.765,Critical,Month-to-month,13,98.0,Electronic check
398,6357-JJPQT,0.7645,Critical,Month-to-month,3,80.5,Electronic check
399,3186-BAXNB,0.7644,Critical,Month-to-month,1,91.7,Electronic check
400,1197-BVMVG,0.7643,Critical,Month-to-month,4,74.45,Electronic check
401,5159-YFPKQ,0.7636,Critical,Month-to-month,2,75.8,Electronic check
402,2660-EMUBI,0.7628,Critical,Month-to-month,10,95.35,Electronic check
403,5519-NPHVG,0.7627,Critical,Month-to-month,12,94.2,Electronic check
404,9919-KNPOO,0.7627,Critical,Month-to-month,21,94.3,Electronic check
405,2984-AFWNC,0.7624,Critical,Month-to-month,3,95.4,Electronic check
406,0365-BZUWY,0.7624,Critical,Month-to-month,17,102.55,Electronic check
407,1740-CSDJP,0.7622,Critical,Month-to-month,1,35.25,Bank transfer (automatic)
408,7394-LWLYN,0.7621,Critical,Month-to-month,2,70.15,Electronic check
409,0013-EXCHZ,0.762,Critical,Month-to-month,3,83.9,Mailed check
410,7235-NXZCP,0.7614,Critical,Month-to-month,2,74.85,Mailed check
411,4482-EWFMI,0.7613,Critical,Month-to-month,2,69.7,Electronic check
412,9189-JWSHV,0.7612,Critical,Month-to-month,24,93.55,Electronic check
413,7450-NWRTR,0.7606,Critical,Month-to-month,12,99.45,Electronic check
414,2516-VQRRV,0.7601,Critical,Month-to-month,2,75.45,Mailed check
415,4847-TAJYI,0.76,Critical,Month-to-month,6,89.35,Electronic check
416,9274-CNFMO,0.76,Critical,Month-to-month,4,74.95,Electronic check
417,2799-ARNLO,0.7599,Critical,Month-to-month,5,69.35,Electronic check
418,7198-GLXTC,0.7597,Critical,Month-to-month,2,79.0,Electronic check
419,6221-AVQYL,0.7596,Critical,Month-to-month,2,73.25,Credit card (automatic)
420,9940-RHLFB,0.7594,Critical,Month-to-month,1,75.3,Electronic check
421,6910-HADCM,0.7594,Critical,Month-to-month,1,76.35,Electronic check
422,3721-CNEYS,0.7592,Critical,Month-to-month,2,70.95,Electronic check
423,7779-LGOVN,0.7591,Critical,Month-to-month,10,86.65,Electronic check
424,9985-MWVIX,0.7589,Critical,Month-to-month,1,70.15,Mailed check
425,0329-GTIAJ,0.7588,Critical,Month-to-month,3,97.9,Electronic check
426,5380-AFSSK,0.7584,Critical,Month-to-month,5,93.9,Mailed check
427,0219-YTZUE,0.7579,Critical,Month-to-month,4,84.8,Bank transfer (automatic)
428,5043-TRZWM,0.7578,Critical,Month-to-month,1,75.55,Electronic check
429,3793-MMFUH,0.7568,Critical,Month-to-month,13,95.05,Electronic check
430,5442-UTCVD,0.7565,Critical,Month-to-month,3,91.85,Electronic check
431,2761-OCIAX,0.7564,Critical,Month-to-month,2,74.7,Electronic check
432,4759-TRPLW,0.7564,Critical,Month-to-month,1,70.4,Electronic check
433,2262-SLNVK,0.7561,Critical,Month-to-month,1,70.1,Electronic check
434,0195-IESCP,0.7555,Critical,Month-to-month,10,85.25,Electronic check
435,7365-BVCJH,0.7555,Critical,Month-to-month,1,24.4,Electronic check
436,1915-IOFGU,0.7551,Critical,Month-to-month,1,70.5,Electronic check
437,6275-YDUVO,0.755,Critical,Month-to-month,2,86.2,Mailed check
438,8443-ZRDBZ,0.7547,Critical,Month-to-month,4,76.05,Electronic check
439,3750-CKVKH,0.7546,Critical,Month-to-month,2,67.75,Electronic check
440,6140-QNRQQ,0.7542,Critical,Month-to-month,1,71.55,Mailed check
441,7994-UYIVZ,0.7535,Critical,Month-to-month,8,85.65,Bank transfer (automatic)
442,4749-OJKQU,0.7535,Critical,Month-to-month,4,75.65,Electronic check
443,3411-WLRSQ,0.7532,Critical,Month-to-month,3,74.6,Bank transfer (automatic)
444,6015-VVHHE,0.7529,Critical,Month-to-month,5,83.15,Credit card (automatic)
445,2619-WFQWU,0.7529,Critical,Month-to-month,1,70.15,Mailed check
446,5032-MIYKT,0.7529,Critical,Month-to-month,1,70.7,Mailed check
447,3811-VBYBZ,0.7519,Critical,Month-to-month,7,99.8,Electronic check
448,2672-DZUOY,0.7517,Critical,Month-to-month,1,25.15,Electronic check
449,1334-FJSVR,0.7517,Critical,Month-to-month,1,24.25,Electronic check
450,9617-INGJY,0.7513,Critical,Month-to-month,1,70.6,Mailed check
451,0968-GSIKN,0.7512,Critical,Month-to-month,1,70.8,Mailed check
452,2672-HUYVI,0.751,Critical,Month-to-month,6,91.1,Electronic check
453,7943-RQCHR,0.7508,Critical,Month-to-month,9,94.75,Electronic check
454,0722-TROQR,0.7506,Critical,Month-to-month,4,74.9,Electronic check
455,2024-BASKD,0.7506,Critical,Month-to-month,1,74.6,Mailed check
456,0231-LXVAP,0.7505,Critical,Month-to-month,1,75.9,Electronic check
457,7153-OANIO,0.7502,Critical,Month-to-month,1,69.95,Electronic check
458,5445-UTODQ,0.7499,Critical,Month-to-month,7,81.1,Electronic check
459,8780-IXSTS,0.7495,Critical,Month-to-month,6,90.1,Electronic check
460,2983-ZANRP,0.7495,Critical,Month-to-month,2,73.55,Bank transfer (automatic)
461,2737-YNGYW,0.7493,Critical,Month-to-month,2,80.55,Electronic check
462,8183-ONMXC,0.7493,Critical,Month-to-month,2,80.75,Electronic check
463,3177-LASXD,0.7489,Critical,Month-to-month,1,71.35,Electronic check
464,2856-HYAPG,0.7489,Critical,Month-to-month,1,68.65,Electronic check
465,0655-RBDUG,0.7488,Critical,Month-to-month,7,98.05,Bank transfer (automatic)
466,5673-FSSMF,0.7485,Critical,Month-to-month,1,60.15,Electronic check
467,7854-FOKSF,0.7484,Critical,Month-to-month,1,35.9,Electronic check
468,6086-ESGRL,0.748,Critical,Month-to-month,1,80.15,Credit card (automatic)
469,7526-BEZQB,0.7479,Critical,Month-to-month,12,96.05,Electronic check
470,0822-GAVAP,0.7477,Critical,Month-to-month,2,34.7,Electronic check
471,8665-UTDHZ,0.7477,Critical,Month-to-month,1,30.2,Electronic check
472,0023-HGHWL,0.747,Critical,Month-to-month,1,25.1,Electronic check
473,2055-PDADH,0.7467,Critical,Month-to-month,3,70.4,Electronic check
474,6168-WFVVF,0.7467,Critical,Month-to-month,3,70.3,Electronic check
475,8309-IEYJD,0.7466,Critical,Month-to-month,1,70.6,Mailed check
476,4285-GYRQC,0.7466,Critical,Month-to-month,7,86.25,Electronic check
477,7379-FNIUJ,0.7456,Critical,Month-to-month,2,100.2,Electronic check
478,2897-DOVND,0.7451,Critical,Month-to-month,2,69.8,Electronic check
479,9717-QEBGU,0.7451,Critical,Month-to-month,2,70.3,Electronic check
480,3871-IKPYH,0.745,Critical,Month-to-month,1,69.1,Electronic check
481,7508-MYBOG,0.7445,Critical,Month-to-month,14,86.1,Electronic check
482,5868-YWPDW,0.744,Critical,Month-to-month,6,84.2,Electronic check
483,9894-EZEWG,0.7432,Critical,Month-to-month,1,74.3,Credit card (automatic)
484,3420-YJLQT,0.743,Critical,Month-to-month,2,79.55,Electronic check
485,4439-JMPMT,0.743,Critical,Month-to-month,5,85.75,Electronic check
486,0139-IVFJG,0.7429,Critical,Month-to-month,2,90.35,Electronic check
487,7595-EUIVN,0.7423,Critical,Month-to-month,1,75.8,Electronic check
488,2990-HWIML,0.7423,Critical,Month-to-month,6,89.5,Electronic check
489,3066-RRJIO,0.7422,Critical,Month-to-month,1,69.95,Mailed check
490,0871-URUWO,0.742,Critical,Month-to-month,13,102.25,Credit card (automatic)
491,0564-JJHGS,0.7419,Critical,Month-to-month,9,95.5,Electronic check
492,6734-GMPVK,0.7416,Critical,Month-to-month,5,105.3,Electronic check
493,4770-UEZOX,0.7412,Critical,Month-to-month,2,74.75,Electronic check
494,5760-IFJOZ,0.7412,Critical,Month-to-month,3,107.95,Mailed check
495,9185-TQCVP,0.7412,Critical,Month-to-month,14,85.15,Electronic check
496,7029-RPUAV,0.7408,Critical,Month-to-month,17,100.45,Credit card (automatic)
497,7363-QTBIW,0.7406,Critical,Month-to-month,9,79.75,Electronic check
498,0018-NYROU,0.7406,Critical,Month-to-month,5,68.95,Electronic check
499,5318-IXUZF,0.7405,Critical,Month-to-month,2,87.15,Bank transfer (automatic)
500,9221-OTIVJ,0.7405,Critical,Month-to-month,14,104.85,Electronic check
